id;isbn;title;year
B-001;978-0-7475-3269-9;Harry Potter and the Philosopher's Stone;1997
B-002;978-0-452-28423-4;1984;1949
B-003;978-0-06-231500-7;The Alchemist;1988
B-004;978-0-307-47477-5;The Da Vinci Code;2003
B-005;978-0-544-00341-5;The Lord of the Rings;1954
B-006;978-0-06-112008-4;To Kill a Mockingbird;1960
B-007;978-0-7432-7356-5;The Girl with the Dragon Tattoo;2005
B-008;978-0-439-02348-1;The Hunger Games;2008
B-009;978-0-7515-4344-2;Gone Girl;2012
B-010;978-0-14-118776-5;Pride and Prejudice;1813
B-011;978-0-261-10221-7;The Hobbit
B-012;978-0-7432-7357-2;;2005
B-013;978-0-14-303943-3;Fahrenheit 451;abcd
